Course,Prereqs
LE/EECS 1001 1.00,
LE/EECS 1011 3.00,
LE/EECS 1012 3.00,"AP/ITEC 3020,SC/CSE 2041,LE/CSE 2041,LE/EECS 2041"
LE/EECS 1015 3.00,
LE/EECS 1019 3.00,"SC/MATH 1190,LE/EECS 1028,SC/MATH 1028,SC/MATH 2320"
LE/EECS 1021 3.00,"LE/EECS 1022,LE/CSE 1020"
LE/EECS 1022 3.00,"LE/EECS 1012,LE/EECS 1015,LE/EECS 1021,LE/EECS 1020,LE/CSE 1020,SC/CSE 1020,AP/ITEC 1620"
LE/EECS 1028 3.00,"LE/CSE 1019,LE/EECS 1019,SC/CSE 1019,SC/MATH 1019,SC/MATH 2320"
LE/EECS 1516 3.00,LE/EECS 1015
LE/EECS 1520 3.00,"LE/EECS 1011,LE/EECS 1012,LE/CSE 1520,SC/CSE 1520,LE/EECS 1020,LE/CSE 1020,SC/CSE 1020,LE/EECS 1021,LE/EECS 1022"
LE/EECS 1530 3.00,"LE/EECS 1540,LE/CSE 1540,SC/CSE 1540,LE/CSE 1530,SC/CSE 1530,LE/EECS 1020,LE/CSE 1020,SC/CSE 1020,LE/EECS 1021,LE/EECS 1022,AP/ITEC 1620"
LE/EECS 1540 3.00,"LE/EECS 1530,LE/EECS 1020,LE/CSE 1020,LE/EECS 1021,LE/EECS 1022,AP/ITEC 1620,LE/CSE 1540,LE/CSE 1530,SC/CSE 1540"
LE/EECS 1541 3.00,"SC/MATH 1013,SC/PHYS 1010,SC/PHYS 1410,SC/PHYS 1420,SC/MATH 1021,SC/MATH 1025,LE/EECS 1011,LE/EECS 1570,LE/CSE 1560,SC/CSE 1560"
LE/EECS 1560 3.00,"SC/MATH 1300,SC/MATH 1310,SC/MATH 1131,SC/MATH 2030,LE/EECS 1541,LE/EECS 1570,SC/PHYS 2030,LE/CSE 1541,LE/CSE 1570,SC/CSE 1541,SC/CSE 1570"
LE/EECS 1570 3.00,"SC/MATH 1505,LE/EECS 1541,LE/EECS 1560,LE/CSE 1541,LE/CSE 1560,SC/CSE 1541,SC/CSE 1560"
LE/EECS 1710 3.00,"LE/EECS 1530,LE/CSE 1530,SC/CSE 1530,AP/ITEC 1620,LE/EECS 1021,LE/EECS 1022,LE/EECS 1020,LE/CSE 1020,SC/CSE 1020"
LE/EECS 1720 3.00,"LE/EECS 1710,LE/EECS 1020,LE/EECS 1022,AP/ITEC 1620,LE/CSE 1020,SC/CSE 1020"
LE/EECS 2001 3.00,"LE/EECS 1021,LE/EECS 1022,LE/EECS 1720,LE/EECS 1030,LE/EECS 1028,SC/MATH 1028,LE/EECS 1019,SC/MATH 1019,LE/CSE 2001,SC/CSE 2001"
LE/EECS 2021 4.00,"LE/EECS 1021,LE/EECS 1022,LE/EECS 1720,LE/EECS 1030,LE/CSE 2021,SC/CSE 2021"
LE/EECS 2030 3.00,"LE/EECS 1020,LE/EECS 1020,LE/EECS 1720,AP/ITEC 2620,LE/CSE 1030"
LE/EECS 2031 3.00,"LE/EECS 1021,LE/EECS 1022,LE/EECS 1030,LE/EECS 1720"
LE/EECS 2032 4.00,"LE/EECS 1021,LE/EECS 1022,LE/EECS 2021,LE/EECS 2031,LE/EECS 3215,LE/CSE 3215,LE/EECS 2030"
LE/EECS 2101 3.00,LE/EECS 2011
LE/EECS 2200 3.00,"SC/PHYS 1010,SC/PHYS 1801,SC/PHYS 3050"
LE/EECS 2210 3.00,"LE/ENG 2200,SC/PHYS 3150"
LE/EECS 2311 3.00,"LE/EECS 1030,LE/EECS 2030"
LE/EECS 2501 1.00,"LE/EECS 1020,LE/EECS 1530"
LE/EECS 2910 3.00,
LE/EECS 2911 3.00,
LE/EECS 3000 3.00,"LE/EECS 2030,LE/EECS 1030"
LE/EECS 3101 3.00,"LE/EECS 2101,LE/EECS 2011,SC/MATH 1090,SC/MATH 1310"
